fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"4940",F,F,"0080080006","1","1970","328.0","260.0","180.0","8","20","0.0",Normal,"8,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"4941",F,F,"0020430090","1","1969","880.0","911.0","880.0","10","10","0.0",Normal,"22,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4942",F,F,"0080180013","1","1919","207.0","450.0","150.0","22","30","0.0",Normal,"4,60",Não,Não,Não,Não,Não,Sim,Não Residencial
"4943",F,F,"0030130039","1","1964","78.0","130.0","62.0","17","20","0.0",Normal,"5,20",Não,Não,Não,Não,Não,Sim,Uso Misto
"4944",F,F,"0080480095","1","1988","63.0","90.0","60.0","14","20","0.0",Normal,"3,15",Não,Não,Não,Não,Não,Sim,Não Residencial
"4946",F,F,"0030410082","1","1939","60.0","100.0","60.0","17","20","0.0",Terreno interno,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"4947",F,F,"0030410081","1","1939","60.0","100.0","60.0","17","20","0.0",Terreno interno,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"4948",F,F,"0020420005","1","1963","318.0","285.0","285.0","9","10","0.0",Normal,"9,95",Não,Não,Não,Não,Não,Sim,Não Residencial
"4950",F,F,"0030140026","1","1958","600.0","800.0","600.0","13","20","0.0",Normal,"12,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"4951",F,F,"0030140173","1","1964","108.0","108.0","90.0","10","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4952",F,F,"0030420081","1","1953","258.0","380.0","255.0","15","20","0.0",Normal,"12,90",Não,Não,Não,Não,Não,Sim,Não Residencial
"4953",F,F,"0030140166","1","1990","120.0","120.0","120.0","10","10","0.0",Normal,"6,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"4954",F,F,"0030410107","1","1924","61.0","44.0","44.0","7","10","0.0",Terreno interno,"15,00",Não,Não,Não,Não,Não,Sim,Residencial
